category,count,feature,type,date
0-17,1726,age,cases,2020-04-10
18-44,33906,age,cases,2020-04-10
45-64,31472,age,cases,2020-04-10
65-74,10990,age,cases,2020-04-10
Over_75,9424,age,cases,2020-04-10
Female,40135,sex,cases,2020-04-10
Male,47193,sex,cases,2020-04-10
Bronx,18736,borough,cases,2020-04-10
Brooklyn,23408,borough,cases,2020-04-10
Manhattan,11486,borough,cases,2020-04-10
Queens,27759,borough,cases,2020-04-10
Staten_Island,6298,borough,cases,2020-04-10
0-17,3,age,death_underlying,2020-04-10
0-17,0,age,death_no_underlying,2020-04-10
0-17,0,age,death_underlying_pending,2020-04-10
18-44,188,age,death_underlying,2020-04-10
18-44,18,age,death_no_underlying,2020-04-10
18-44,35,age,death_underlying_pending,2020-04-10
45-64,906,age,death_underlying,2020-04-10
45-64,38,age,death_no_underlying,2020-04-10
45-64,199,age,death_underlying_pending,2020-04-10
65-74,840,age,death_underlying,2020-04-10
65-74,15,age,death_no_underlying,2020-04-10
65-74,332,age,death_underlying_pending,2020-04-10
Over_75,1402,age,death_underlying,2020-04-10
Over_75,18,age,death_no_underlying,2020-04-10
Over_75,784,age,death_underlying_pending,2020-04-10
Female,1187,sex,death_underlying,2020-04-10
Female,18,sex,death_no_underlying,2020-04-10
Female,519,sex,death_underlying_pending,2020-04-10
Male,1979,sex,death_underlying,2020-04-10
Male,65,sex,death_no_underlying,2020-04-10
Male,804,sex,death_underlying_pending,2020-04-10
Bronx,1031,borough,death_underlying,2020-04-10
Bronx,11,borough,death_no_underlying,2020-04-10
Bronx,93,borough,death_underlying_pending,2020-04-10
Brooklyn,805,borough,death_underlying,2020-04-10
Brooklyn,23,borough,death_no_underlying,2020-04-10
Brooklyn,513,borough,death_underlying_pending,2020-04-10
Manhattan,372,borough,death_underlying,2020-04-10
Manhattan,15,borough,death_no_underlying,2020-04-10
Manhattan,167,borough,death_underlying_pending,2020-04-10
Queens,986,borough,death_underlying,2020-04-10
Queens,35,borough,death_no_underlying,2020-04-10
Queens,472,borough,death_underlying_pending,2020-04-10
Staten_Island,144,borough,death_underlying,2020-04-10
Staten_Island,5,borough,death_no_underlying,2020-04-10
Staten_Island,105,borough,death_underlying_pending,2020-04-10
0-17,160,age,hospitalizations,2020-04-10
18-44,3461,age,hospitalizations,2020-04-10
45-64,8080,age,hospitalizations,2020-04-10
65-74,4746,age,hospitalizations,2020-04-10
Over_75,5124,age,hospitalizations,2020-04-10
Female,8618,sex,hospitalizations,2020-04-10
Male,12769,sex,hospitalizations,2020-04-10
Bronx,5441,borough,hospitalizations,2020-04-10
Brooklyn,5402,borough,hospitalizations,2020-04-10
Manhattan,2900,borough,hospitalizations,2020-04-10
Queens,6776,borough,hospitalizations,2020-04-10
Staten_Island,1042,borough,hospitalizations,2020-04-10
