category,count,feature,type,date
0-17,3488,age,cases,2020-04-27
18-44,57462,age,cases,2020-04-27
45-64,57556,age,cases,2020-04-27
65-74,19545,age,cases,2020-04-27
Over_75,17735,age,cases,2020-04-27
Female,74952,sex,cases,2020-04-27
Male,80854,sex,cases,2020-04-27
Bronx,35398,borough,cases,2020-04-27
Brooklyn,41327,borough,cases,2020-04-27
Manhattan,19499,borough,cases,2020-04-27
Queens,48382,borough,cases,2020-04-27
Staten_Island,11424,borough,cases,2020-04-27
0-17,5,age,death_underlying,2020-04-27
0-17,0,age,death_no_underlying,2020-04-27
0-17,0,age,death_underlying_pending,2020-04-27
18-44,379,age,death_underlying,2020-04-27
18-44,10,age,death_no_underlying,2020-04-27
18-44,90,age,death_underlying_pending,2020-04-27
45-64,2204,age,death_underlying,2020-04-27
45-64,50,age,death_no_underlying,2020-04-27
45-64,366,age,death_underlying_pending,2020-04-27
65-74,2050,age,death_underlying,2020-04-27
65-74,5,age,death_no_underlying,2020-04-27
65-74,829,age,death_underlying_pending,2020-04-27
Over_75,3794,age,death_underlying,2020-04-27
Over_75,1,age,death_no_underlying,2020-04-27
Over_75,1923,age,death_underlying_pending,2020-04-27
Female,3277,sex,death_underlying,2020-04-27
Female,8,sex,death_no_underlying,2020-04-27
Female,1291,sex,death_underlying_pending,2020-04-27
Male,5138,sex,death_underlying,2020-04-27
Male,58,sex,death_no_underlying,2020-04-27
Male,1912,sex,death_underlying_pending,2020-04-27
Bronx,2250,borough,death_underlying,2020-04-27
Bronx,10,borough,death_no_underlying,2020-04-27
Bronx,269,borough,death_underlying_pending,2020-04-27
Brooklyn,2277,borough,death_underlying,2020-04-27
Brooklyn,18,borough,death_no_underlying,2020-04-27
Brooklyn,1199,borough,death_underlying_pending,2020-04-27
Manhattan,967,borough,death_underlying,2020-04-27
Manhattan,7,borough,death_no_underlying,2020-04-27
Manhattan,558,borough,death_underlying_pending,2020-04-27
Queens,2560,borough,death_underlying,2020-04-27
Queens,31,borough,death_no_underlying,2020-04-27
Queens,990,borough,death_underlying_pending,2020-04-27
Staten_Island,374,borough,death_underlying,2020-04-27
Staten_Island,0,borough,death_no_underlying,2020-04-27
Staten_Island,192,borough,death_underlying_pending,2020-04-27
0-17,270,age,hospitalizations,2020-04-27
18-44,5647,age,hospitalizations,2020-04-27
45-64,14016,age,hospitalizations,2020-04-27
65-74,9122,age,hospitalizations,2020-04-27
Over_75,10993,age,hospitalizations,2020-04-27
Female,16630,sex,hospitalizations,2020-04-27
Male,23395,sex,hospitalizations,2020-04-27
Bronx,9200,borough,hospitalizations,2020-04-27
Brooklyn,10557,borough,hospitalizations,2020-04-27
Manhattan,5449,borough,hospitalizations,2020-04-27
Queens,13034,borough,hospitalizations,2020-04-27
Staten Island,1792,borough,hospitalizations,2020-04-27
