category,count,feature,type,date
0-17,652,age,cases,2020-03-30
18-44,15202,age,cases,2020-03-30
45-64,12652,age,cases,2020-03-30
65-74,4312,age,cases,2020-03-30
Over_75,3309,age,cases,2020-03-30
Female,16036,sex,cases,2020-03-30
Male,20139,sex,cases,2020-03-30
Bronx,6830,borough,cases,2020-03-30
Brooklyn,9521,borough,cases,2020-03-30
Manhattan,5877,borough,cases,2020-03-30
Queens,11868,borough,cases,2020-03-30
Staten_Island,2091,borough,cases,2020-03-30
0-17,1,age,death_underlying,2020-03-30
0-17,0,age,death_no_underlying,2020-03-30
0-17,0,age,death_underlying_pending,2020-03-30
18-44,31,age,death_underlying,2020-03-30
18-44,1,age,death_no_underlying,2020-03-30
18-44,9,age,death_underlying_pending,2020-03-30
45-64,144,age,death_underlying,2020-03-30
45-64,7,age,death_no_underlying,2020-03-30
45-64,38,age,death_underlying_pending,2020-03-30
65-74,154,age,death_underlying,2020-03-30
65-74,1,age,death_no_underlying,2020-03-30
65-74,30,age,death_underlying_pending,2020-03-30
Over_75,309,age,death_underlying,2020-03-30
Over_75,3,age,death_no_underlying,2020-03-30
Over_75,62,age,death_underlying_pending,2020-03-30
Female,253,sex,death_underlying,2020-03-30
Female,5,sex,death_no_underlying,2020-03-30
Female,50,sex,death_underlying_pending,2020-03-30
Male,386,sex,death_underlying,2020-03-30
Male,7,sex,death_no_underlying,2020-03-30
Male,89,sex,death_underlying_pending,2020-03-30
Bronx,183,borough,death_underlying,2020-03-30
Bronx,0,borough,death_no_underlying,2020-03-30
Bronx,10,borough,death_underlying_pending,2020-03-30
Brooklyn,136,borough,death_underlying,2020-03-30
Brooklyn,5,borough,death_no_underlying,2020-03-30
Brooklyn,47,borough,death_underlying_pending,2020-03-30
Manhattan,83,borough,death_underlying,2020-03-30
Manhattan,1,borough,death_no_underlying,2020-03-30
Manhattan,19,borough,death_underlying_pending,2020-03-30
Queens,200,borough,death_underlying,2020-03-30
Queens,6,borough,death_no_underlying,2020-03-30
Queens,50,borough,death_underlying_pending,2020-03-30
Staten_Island,36,borough,death_underlying,2020-03-30
Staten_Island,0,borough,death_no_underlying,2020-03-30
Staten_Island,13,borough,death_underlying_pending,2020-03-30
