category,count,feature,type,date
0-17,881,age,cases,2020-04-02
18-44,20313,age,cases,2020-04-02
45-64,17497,age,cases,2020-04-02
65-74,6095,age,cases,2020-04-02
Over_75,4811,age,cases,2020-04-02
Female,22485,sex,cases,2020-04-02
Male,27155,sex,cases,2020-04-02
Bronx,9343,borough,cases,2020-04-02
Brooklyn,13290,borough,cases,2020-04-02
Manhattan,7398,borough,cases,2020-04-02
Queens,16819,borough,cases,2020-04-02
Staten_Island,2822,borough,cases,2020-04-02
0-17,1,age,death_underlying,2020-04-02
0-17,0,age,death_no_underlying,2020-04-02
0-17,0,age,death_underlying_pending,2020-04-02
18-44,64,age,death_underlying,2020-04-02
18-44,7,age,death_no_underlying,2020-04-02
18-44,19,age,death_underlying_pending,2020-04-02
45-64,304,age,death_underlying,2020-04-02
45-64,13,age,death_no_underlying,2020-04-02
45-64,65,age,death_underlying_pending,2020-04-02
65-74,304,age,death_underlying,2020-04-02
65-74,1,age,death_no_underlying,2020-04-02
65-74,71,age,death_underlying_pending,2020-04-02
Over_75,472,age,death_underlying,2020-04-02
Over_75,3,age,death_no_underlying,2020-04-02
Over_75,238,age,death_underlying_pending,2020-04-02
Female,432,sex,death_underlying,2020-04-02
Female,6,sex,death_no_underlying,2020-04-02
Female,151,sex,death_underlying_pending,2020-04-02
Male,711,sex,death_underlying,2020-04-02
Male,18,sex,death_no_underlying,2020-04-02
Male,242,sex,death_underlying_pending,2020-04-02
Bronx,367,borough,death_underlying,2020-04-02
Bronx,7,borough,death_no_underlying,2020-04-02
Bronx,47,borough,death_underlying_pending,2020-04-02
Brooklyn,247,borough,death_underlying,2020-04-02
Brooklyn,4,borough,death_no_underlying,2020-04-02
Brooklyn,134,borough,death_underlying_pending,2020-04-02
Manhattan,124,borough,death_underlying,2020-04-02
Manhattan,2,borough,death_no_underlying,2020-04-02
Manhattan,52,borough,death_underlying_pending,2020-04-02
Queens,346,borough,death_underlying,2020-04-02
Queens,11,borough,death_no_underlying,2020-04-02
Queens,142,borough,death_underlying_pending,2020-04-02
Staten_Island,60,borough,death_underlying,2020-04-02
Staten_Island,0,borough,death_no_underlying,2020-04-02
Staten_Island,18,borough,death_underlying_pending,2020-04-02
