category,count,feature,type,date
0-17,988,age,cases,2020-04-03
18-44,22434,age,cases,2020-04-03
45-64,19971,age,cases,2020-04-03
65-74,7064,age,cases,2020-04-03
Over_75,5709,age,cases,2020-04-03
Female,25536,sex,cases,2020-04-03
Male,30672,sex,cases,2020-04-03
Bronx,10765,borough,cases,2020-04-03
Brooklyn,15327,borough,cases,2020-04-03
Manhattan,8222,borough,cases,2020-04-03
Queens,18823,borough,cases,2020-04-03
Staten_Island,3117,borough,cases,2020-04-03
0-17,1,age,death_underlying,2020-04-03
0-17,0,age,death_no_underlying,2020-04-03
0-17,0,age,death_underlying_pending,2020-04-03
18-44,75,age,death_underlying,2020-04-03
18-44,8,age,death_no_underlying,2020-04-03
18-44,27,age,death_underlying_pending,2020-04-03
45-64,347,age,death_underlying,2020-04-03
45-64,16,age,death_no_underlying,2020-04-03
45-64,79,age,death_underlying_pending,2020-04-03
65-74,337,age,death_underlying,2020-04-03
65-74,1,age,death_no_underlying,2020-04-03
65-74,123,age,death_underlying_pending,2020-04-03
Over_75,525,age,death_underlying,2020-04-03
Over_75,3,age,death_no_underlying,2020-04-03
Over_75,325,age,death_underlying_pending,2020-04-03
Female,490,sex,death_underlying,2020-04-03
Female,5,sex,death_no_underlying,2020-04-03
Female,211,sex,death_underlying_pending,2020-04-03
Male,793,sex,death_underlying,2020-04-03
Male,23,sex,death_no_underlying,2020-04-03
Male,343,sex,death_underlying_pending,2020-04-03
Bronx,419,borough,death_underlying,2020-04-03
Bronx,7,borough,death_no_underlying,2020-04-03
Bronx,54,borough,death_underlying_pending,2020-04-03
Brooklyn,277,borough,death_underlying,2020-04-03
Brooklyn,7,borough,death_no_underlying,2020-04-03
Brooklyn,201,borough,death_underlying_pending,2020-04-03
Manhattan,141,borough,death_underlying,2020-04-03
Manhattan,3,borough,death_no_underlying,2020-04-03
Manhattan,71,borough,death_underlying_pending,2020-04-03
Queens,382,borough,death_underlying,2020-04-03
Queens,11,borough,death_no_underlying,2020-04-03
Queens,197,borough,death_underlying_pending,2020-04-03
Staten_Island,65,borough,death_underlying,2020-04-03
Staten_Island,0,borough,death_no_underlying,2020-04-03
Staten_Island,31,borough,death_underlying_pending,2020-04-03
0-17,92,age,hospitalizations,2020-04-03
18-44,1962,age,hospitalizations,2020-04-03
45-64,4368,age,hospitalizations,2020-04-03
65-74,2572,age,hospitalizations,2020-04-03
Over_75,2745,age,hospitalizations,2020-04-03
Female,4765,sex,hospitalizations,2020-04-03
Male,6970,sex,hospitalizations,2020-04-03
Bronx,2924,borough,hospitalizations,2020-04-03
Brooklyn,2826,borough,hospitalizations,2020-04-03
Manhattan,1414,borough,hospitalizations,2020-04-03
Queens,3889,borough,hospitalizations,2020-04-03
Staten_Island,677,borough,hospitalizations,2020-04-03
