category,count,feature,type,date
0-17,4824,age,cases,2020-05-15
18-44,68835,age,cases,2020-05-15
45-64,68520,age,cases,2020-05-15
65-74,23370,age,cases,2020-05-15
Over_75,21887,age,cases,2020-05-15
Female,90959,sex,cases,2020-05-15
Male,96764,sex,cases,2020-05-15
Bronx,42656,borough,cases,2020-05-15
Brooklyn,51131,borough,cases,2020-05-15
Manhattan,23274,borough,cases,2020-05-15
Queens,57865,borough,cases,2020-05-15
Staten_Island,12832,borough,cases,2020-05-15
0-17,7,age,death_underlying,2020-05-15
0-17,1,age,death_no_underlying,2020-05-15
0-17,0,age,death_underlying_pending,2020-05-15
18-44,485,age,death_underlying,2020-05-15
18-44,19,age,death_no_underlying,2020-05-15
18-44,106,age,death_underlying_pending,2020-05-15
45-64,2957,age,death_underlying,2020-05-15
45-64,74,age,death_no_underlying,2020-05-15
45-64,418,age,death_underlying_pending,2020-05-15
65-74,3085,age,death_underlying,2020-05-15
65-74,3,age,death_no_underlying,2020-05-15
65-74,753,age,death_underlying_pending,2020-05-15
Over_75,5818,age,death_underlying,2020-05-15
Over_75,2,age,death_no_underlying,2020-05-15
Over_75,1691,age,death_underlying_pending,2020-05-15
Female,4904,sex,death_underlying,2020-05-15
Female,11,sex,death_no_underlying,2020-05-15
Female,1129,sex,death_underlying_pending,2020-05-15
Male,7436,sex,death_underlying,2020-05-15
Male,88,sex,death_no_underlying,2020-05-15
Male,1837,sex,death_underlying_pending,2020-05-15
Bronx,2991,borough,death_underlying,2020-05-15
Bronx,16,borough,death_no_underlying,2020-05-15
Bronx,286,borough,death_underlying_pending,2020-05-15
Brooklyn,3640,borough,death_underlying,2020-05-15
Brooklyn,25,borough,death_no_underlying,2020-05-15
Brooklyn,1040,borough,death_underlying_pending,2020-05-15
Manhattan,1561,borough,death_underlying,2020-05-15
Manhattan,8,borough,death_no_underlying,2020-05-15
Manhattan,488,borough,death_underlying_pending,2020-05-15
Queens,3625,borough,death_underlying,2020-05-15
Queens,50,borough,death_no_underlying,2020-05-15
Queens,935,borough,death_underlying_pending,2020-05-15
Staten_Island,530,borough,death_underlying,2020-05-15
Staten_Island,0,borough,death_no_underlying,2020-05-15
Staten_Island,218,borough,death_underlying_pending,2020-05-15
0-17,414,age,hospitalizations,2020-05-15
18-44,7496,age,hospitalizations,2020-05-15
45-64,16854,age,hospitalizations,2020-05-15
65-74,11091,age,hospitalizations,2020-05-15
Over_75,13720,age,hospitalizations,2020-05-15
Female,21296,sex,hospitalizations,2020-05-15
Male,28256,sex,hospitalizations,2020-05-15
Bronx,11223,borough,hospitalizations,2020-05-15
Brooklyn,13253,borough,hospitalizations,2020-05-15
Manhattan,7251,borough,hospitalizations,2020-05-15
Queens,15656,borough,hospitalizations,2020-05-15
Staten Island,2174,borough,hospitalizations,2020-05-15
