category,count,feature,type,date
0-17,748,age,cases,2020-03-31
18-44,17038,age,cases,2020-03-31
45-64,14395,age,cases,2020-03-31
65-74,4883,age,cases,2020-03-31
Over_75,3739,age,cases,2020-03-31
Female,18264,sex,cases,2020-03-31
Male,22587,sex,cases,2020-03-31
Bronx,7625,borough,cases,2020-03-31
Brooklyn,10904,borough,cases,2020-03-31
Manhattan,6446,borough,cases,2020-03-31
Queens,13576,borough,cases,2020-03-31
Staten_Island,2314,borough,cases,2020-03-31
0-17,1,age,death_underlying,2020-03-31
0-17,0,age,death_no_underlying,2020-03-31
0-17,0,age,death_underlying_pending,2020-03-31
18-44,44,age,death_underlying,2020-03-31
18-44,2,age,death_no_underlying,2020-03-31
18-44,11,age,death_underlying_pending,2020-03-31
45-64,180,age,death_underlying,2020-03-31
45-64,9,age,death_no_underlying,2020-03-31
45-64,29,age,death_underlying_pending,2020-03-31
65-74,182,age,death_underlying,2020-03-31
65-74,0,age,death_no_underlying,2020-03-31
65-74,39,age,death_underlying_pending,2020-03-31
Over_75,341,age,death_underlying,2020-03-31
Over_75,3,age,death_no_underlying,2020-03-31
Over_75,91,age,death_underlying_pending,2020-03-31
Female,285,sex,death_underlying,2020-03-31
Female,4,sex,death_no_underlying,2020-03-31
Female,63,sex,death_underlying_pending,2020-03-31
Male,462,sex,death_underlying,2020-03-31
Male,10,sex,death_no_underlying,2020-03-31
Male,107,sex,death_underlying_pending,2020-03-31
Bronx,210,borough,death_underlying,2020-03-31
Bronx,1,borough,death_no_underlying,2020-03-31
Bronx,19,borough,death_underlying_pending,2020-03-31
Brooklyn,163,borough,death_underlying,2020-03-31
Brooklyn,4,borough,death_no_underlying,2020-03-31
Brooklyn,48,borough,death_underlying_pending,2020-03-31
Manhattan,92,borough,death_underlying,2020-03-31
Manhattan,1,borough,death_no_underlying,2020-03-31
Manhattan,26,borough,death_underlying_pending,2020-03-31
Queens,238,borough,death_underlying,2020-03-31
Queens,8,borough,death_no_underlying,2020-03-31
Queens,63,borough,death_underlying_pending,2020-03-31
Staten_Island,44,borough,death_underlying,2020-03-31
Staten_Island,0,borough,death_no_underlying,2020-03-31
Staten_Island,14,borough,death_underlying_pending,2020-03-31
