category,count,feature,type,date
0-17,1867,age,cases,2020-04-11
18-44,36475,age,cases,2020-04-11
45-64,33914,age,cases,2020-04-11
65-74,11736,age,cases,2020-04-11
Over_75,10203,age,cases,2020-04-11
Female,43185,sex,cases,2020-04-11
Male,50807,sex,cases,2020-04-11
Bronx,20543,borough,cases,2020-04-11
Brooklyn,24846,borough,cases,2020-04-11
Manhattan,12201,borough,cases,2020-04-11
Queens,29754,borough,cases,2020-04-11
Staten_Island,7027,borough,cases,2020-04-11
0-17,3,age,death_underlying,2020-04-11
0-17,0,age,death_no_underlying,2020-04-11
0-17,0,age,death_underlying_pending,2020-04-11
18-44,208,age,death_underlying,2020-04-11
18-44,21,age,death_no_underlying,2020-04-11
18-44,36,age,death_underlying_pending,2020-04-11
45-64,1070,age,death_underlying,2020-04-11
45-64,43,age,death_no_underlying,2020-04-11
45-64,170,age,death_underlying_pending,2020-04-11
65-74,1064,age,death_underlying,2020-04-11
65-74,18,age,death_no_underlying,2020-04-11
65-74,253,age,death_underlying_pending,2020-04-11
Over_75,1874,age,death_underlying,2020-04-11
Over_75,21,age,death_no_underlying,2020-04-11
Over_75,648,age,death_underlying_pending,2020-04-11
Female,1527,sex,death_underlying,2020-04-11
Female,24,sex,death_no_underlying,2020-04-11
Female,424,sex,death_underlying_pending,2020-04-11
Male,2502,sex,death_underlying,2020-04-11
Male,75,sex,death_no_underlying,2020-04-11
Male,662,sex,death_underlying_pending,2020-04-11
Bronx,1130,borough,death_underlying,2020-04-11
Bronx,11,borough,death_no_underlying,2020-04-11
Bronx,100,borough,death_underlying_pending,2020-04-11
Brooklyn,1076,borough,death_underlying,2020-04-11
Brooklyn,37,borough,death_no_underlying,2020-04-11
Brooklyn,397,borough,death_underlying_pending,2020-04-11
Manhattan,446,borough,death_underlying,2020-04-11
Manhattan,15,borough,death_no_underlying,2020-04-11
Manhattan,168,borough,death_underlying_pending,2020-04-11
Queens,1351,borough,death_underlying,2020-04-11
Queens,37,borough,death_no_underlying,2020-04-11
Queens,371,borough,death_underlying_pending,2020-04-11
Staten_Island,215,borough,death_underlying,2020-04-11
Staten_Island,3,borough,death_no_underlying,2020-04-11
Staten_Island,71,borough,death_underlying_pending,2020-04-11
0-17,183,age,hospitalizations,2020-04-11
18-44,4130,age,hospitalizations,2020-04-11
45-64,9567,age,hospitalizations,2020-04-11
65-74,5729,age,hospitalizations,2020-04-11
Over_75,6311,age,hospitalizations,2020-04-11
Female,10511,sex,hospitalizations,2020-04-11
Male,15208,sex,hospitalizations,2020-04-11
Bronx,5915,borough,hospitalizations,2020-04-11
Brooklyn,6646,borough,hospitalizations,2020-04-11
Manhattan,3510,borough,hospitalizations,2020-04-11
Queens,8637,borough,hospitalizations,2020-04-11
Staten_Island,1200,borough,hospitalizations,2020-04-11
