category,count,feature,type,date
0-17,803,age,cases,2020-04-01
18-44,18463,age,cases,2020-04-01
45-64,15818,age,cases,2020-04-01
65-74,5484,age,cases,2020-04-01
Over_75,4241,age,cases,2020-04-01
Female,20144,sex,cases,2020-04-01
Male,24715,sex,cases,2020-04-01
Bronx,8398,borough,cases,2020-04-01
Brooklyn,12076,borough,cases,2020-04-01
Manhattan,6960,borough,cases,2020-04-01
Queens,14966,borough,cases,2020-04-01
Staten_Island,2480,borough,cases,2020-04-01
0-17,1,age,death_underlying,2020-04-01
0-17,0,age,death_no_underlying,2020-04-01
0-17,0,age,death_underlying_pending,2020-04-01
18-44,44,age,death_underlying,2020-04-01
18-44,2,age,death_no_underlying,2020-04-01
18-44,20,age,death_underlying_pending,2020-04-01
45-64,189,age,death_underlying,2020-04-01
45-64,9,age,death_no_underlying,2020-04-01
45-64,73,age,death_underlying_pending,2020-04-01
65-74,197,age,death_underlying,2020-04-01
65-74,0,age,death_no_underlying,2020-04-01
65-74,71,age,death_underlying_pending,2020-04-01
Over_75,358,age,death_underlying,2020-04-01
Over_75,3,age,death_no_underlying,2020-04-01
Over_75,172,age,death_underlying_pending,2020-04-01
Female,298,sex,death_underlying,2020-04-01
Female,4,sex,death_no_underlying,2020-04-01
Female,115,sex,death_underlying_pending,2020-04-01
Male,490,sex,death_underlying,2020-04-01
Male,10,sex,death_no_underlying,2020-04-01
Male,221,sex,death_underlying_pending,2020-04-01
Bronx,247,borough,death_underlying,2020-04-01
Bronx,1,borough,death_no_underlying,2020-04-01
Bronx,41,borough,death_underlying_pending,2020-04-01
Brooklyn,163,borough,death_underlying,2020-04-01
Brooklyn,4,borough,death_no_underlying,2020-04-01
Brooklyn,97,borough,death_underlying_pending,2020-04-01
Manhattan,93,borough,death_underlying,2020-04-01
Manhattan,1,borough,death_no_underlying,2020-04-01
Manhattan,38,borough,death_underlying_pending,2020-04-01
Queens,241,borough,death_underlying,2020-04-01
Queens,8,borough,death_no_underlying,2020-04-01
Queens,137,borough,death_underlying_pending,2020-04-01
Staten_Island,44,borough,death_underlying,2020-04-01
Staten_Island,0,borough,death_no_underlying,2020-04-01
Staten_Island,23,borough,death_underlying_pending,2020-04-01
