category,count,feature,type,date
0-17,2395,age,cases,2020-04-17
18-44,45648,age,cases,2020-04-17
45-64,44460,age,cases,2020-04-17
65-74,15490,age,cases,2020-04-17
Over_75,13892,age,cases,2020-04-17
Female,57327,sex,cases,2020-04-17
Male,64566,sex,cases,2020-04-17
Bronx,27014,borough,cases,2020-04-17
Brooklyn,32499,borough,cases,2020-04-17
Manhattan,15952,borough,cases,2020-04-17
Queens,37447,borough,cases,2020-04-17
Staten_Island,9166,borough,cases,2020-04-17
0-17,3,age,death_underlying,2020-04-17
0-17,0,age,death_no_underlying,2020-04-17
0-17,0,age,death_underlying_pending,2020-04-17
18-44,294,age,death_underlying,2020-04-17
18-44,8,age,death_no_underlying,2020-04-17
18-44,51,age,death_underlying_pending,2020-04-17
45-64,1563,age,death_underlying,2020-04-17
45-64,30,age,death_no_underlying,2020-04-17
45-64,195,age,death_underlying_pending,2020-04-17
65-74,1455,age,death_underlying,2020-04-17
65-74,3,age,death_no_underlying,2020-04-17
65-74,504,age,death_underlying_pending,2020-04-17
Over_75,2576,age,death_underlying,2020-04-17
Over_75,1,age,death_no_underlying,2020-04-17
Over_75,1206,age,death_underlying_pending,2020-04-17
Female,2234,sex,death_underlying,2020-04-17
Female,5,sex,death_no_underlying,2020-04-17
Female,794,sex,death_underlying_pending,2020-04-17
Male,3646,sex,death_underlying,2020-04-17
Male,37,sex,death_no_underlying,2020-04-17
Male,1160,sex,death_underlying_pending,2020-04-17
Bronx,1621,borough,death_underlying,2020-04-17
Bronx,7,borough,death_no_underlying,2020-04-17
Bronx,174,borough,death_underlying_pending,2020-04-17
Brooklyn,1567,borough,death_underlying,2020-04-17
Brooklyn,14,borough,death_no_underlying,2020-04-17
Brooklyn,712,borough,death_underlying_pending,2020-04-17
Manhattan,653,borough,death_underlying,2020-04-17
Manhattan,6,borough,death_no_underlying,2020-04-17
Manhattan,345,borough,death_underlying_pending,2020-04-17
Queens,1774,borough,death_underlying,2020-04-17
Queens,15,borough,death_no_underlying,2020-04-17
Queens,613,borough,death_underlying_pending,2020-04-17
Staten_Island,272,borough,death_underlying,2020-04-17
Staten_Island,0,borough,death_no_underlying,2020-04-17
Staten_Island,113,borough,death_underlying_pending,2020-04-17
0-17,209,age,hospitalizations,2020-04-17
18-44,4843,age,hospitalizations,2020-04-17
45-64,11795,age,hospitalizations,2020-04-17
65-74,7434,age,hospitalizations,2020-04-17
Over_75,8560,age,hospitalizations,2020-04-17
Female,13493,sex,hospitalizations,2020-04-17
Male,19333,sex,hospitalizations,2020-04-17
Bronx,7621,borough,hospitalizations,2020-04-17
Brooklyn,8579,borough,hospitalizations,2020-04-17
Manhattan,4540,borough,hospitalizations,2020-04-17
Queens,10602,borough,hospitalizations,2020-04-17
Staten_Island,1486,borough,hospitalizations,2020-04-17
